id,player_name,appearances_time, field_goal_percentage ,shots_made,shots_try, three_pointer_percentage ,three_shots_made,three_shots_try, free_throws_percentage ,free_throw_made,free_throws_try,rebounds,assists,steals,blocks,turnovers,fouls,scores,is_allstar
214,Danilo Gallinari,32,0.4,4.9,12.2,0.32,1.7,5.3,0.93,3.9,4.1,4.8,2,0.6,0.5,1.2,1.4,15.3,0
403,Lauri Markkanen,29.7,0.43,5.5,12.7,0.36,2.1,5.9,0.84,2.1,2.4,7.5,1.2,0.6,0.6,1.2,1.5,15.2,0
583,Dennis Smith Jr.,29.7,0.4,5.9,14.8,0.31,1.5,4.9,0.69,1.9,2.8,3.8,5.2,1,0.3,2.8,2.2,15.2,0
608,Isaiah Thomas,26.9,0.37,4.9,13.2,0.29,1.7,5.9,0.89,3.7,4.1,2.1,4.8,0.5,0.1,3,1.8,15.2,0
551,Austin Rivers,33.7,0.42,5.6,13.2,0.38,2.2,5.9,0.64,1.7,2.6,2.4,4,1.2,0.3,1.8,2.5,15.1,0
175,Andre Drummond,33.7,0.53,6,11.3,0,0,0.1,0.61,3.1,5.1,16,3,1.5,1.6,2.6,3.2,15,0
526,Otto Porter Jr.,31.6,0.5,5.8,11.5,0.44,1.8,4.1,0.83,1.4,1.7,6.4,2,1.5,0.5,1,2,14.7,0
287,Rodney Hood,26.9,0.43,5.4,12.5,0.38,2.1,5.6,0.86,1.9,2.2,2.8,1.6,0.8,0.2,1.2,1.8,14.7,0
566,foreign_player,29.6,0.45,5.2,11.4,0.39,2,5.1,0.86,2.3,2.7,6.7,2.6,0.7,0.3,1.9,2.1,14.6,0
434,Paul Millsap,30.1,0.46,5.3,11.4,0.35,1,3,0.7,2.9,4.2,6.4,2.8,1,1.2,1.9,2.6,14.6,0
316,Reggie Jackson,26.7,0.43,5.5,12.8,0.31,1.2,3.8,0.84,2.5,3,2.8,5.3,0.6,0.1,2.2,1.9,14.6,0
540,Zach Randolph,25.6,0.47,6.1,12.9,0.35,0.9,2.5,0.79,1.4,1.8,6.7,2.2,0.7,0.2,2,2,14.5,0
88,Jaylen Brown,30.7,0.47,5.3,11.5,0.4,1.7,4.4,0.64,2.1,3.3,4.9,1.6,1,0.4,1.8,2.6,14.5,0
481,foreign_player,26.4,0.51,6.1,12,0,0,0.1,0.63,2.2,3.5,9,1.8,0.8,1.4,2.3,3.1,14.3,0
65,foreign_player,30.8,0.47,5.1,10.7,0.4,1.9,4.8,0.87,2.2,2.6,3.4,1.5,0.7,0.1,1.3,1.6,14.3,0
637,Dion Waiters,30.6,0.4,5.4,13.7,0.31,1.7,5.7,0.74,1.7,2.3,2.6,3.8,0.8,0.3,2.3,2,14.3,0
75,Avery Bradley,31.2,0.41,5.6,13.6,0.37,1.6,4.4,0.77,1.4,1.8,2.5,2,1.1,0.2,2.2,2,14.3,0
601,Jeff Teague,33,0.45,5.1,11.3,0.37,1.2,3.3,0.85,2.9,3.4,3,7,1.5,0.3,2.5,2.4,14.2,0
209,Enes Freedom,25.8,0.59,5.9,10,0,0,0,0.85,2.2,2.6,11,1.5,0.5,0.5,1.7,2.6,14.1,0
532,Taurean Prince,30,0.43,5.1,11.9,0.39,2.1,5.6,0.84,1.9,2.2,4.7,2.6,1,0.5,2.3,2,14.1,0
656,Hassan Whiteside,25.3,0.54,5.8,10.7,1,0,0,0.7,2.4,3.4,11.4,1,0.7,1.7,1.7,2.4,14,0
108,Clint Capela,27.5,0.65,6,9.1,0,0,0,0.56,1.9,3.5,10.8,0.9,0.8,1.9,1.4,2.5,13.9,0
3,Steven Adams,32.7,0.63,5.9,9.4,0,0,0,0.56,2.1,3.8,9,1.2,1.2,1,1.7,2.8,13.9,0
285,Rondae Hollis0Jefferson,28.2,0.47,5,10.6,0.24,0.2,0.8,0.79,3.7,4.6,6.8,2.5,1,0.7,1.8,2.1,13.9,0
599,Jayson Tatum,30.5,0.48,5,10.4,0.43,1.3,3,0.83,2.7,3.2,5,1.6,1,0.7,1.4,2.1,13.9,0
579,Jonathon Simmons,29.4,0.47,5.1,11,0.34,1,3,0.77,2.7,3.5,3.5,2.5,0.8,0.2,2.1,2.5,13.9,0
121,Jordan Clarkson,23.3,0.45,5.3,11.8,0.35,1.4,3.9,0.8,1.9,2.3,2.7,2.7,0.7,0.1,1.6,1.3,13.9,0
450,Marcus Morris,26.7,0.43,4.9,11.3,0.37,1.6,4.3,0.81,2.3,2.9,5.4,1.3,0.6,0.2,1.2,1.9,13.6,0
109,DeMarre Carroll,29.9,0.41,4.5,10.8,0.37,2,5.4,0.76,2.6,3.4,6.6,2,0.8,0.4,1.4,2.3,13.5,0
274,Buddy Hield,25.3,0.45,5.2,11.7,0.43,2.2,5.1,0.88,0.9,1,3.8,1.9,1.1,0.3,1.6,1.9,13.5,0
104,Kentavious Caldwell0Pope,33.2,0.43,4.6,10.8,0.38,2.1,5.6,0.79,2.1,2.6,5.2,2.2,1.4,0.2,1.3,2,13.4,0
178,Kris Dunn,29.3,0.43,5.5,12.8,0.32,0.8,2.6,0.74,1.6,2.2,4.3,6,2,0.5,2.9,3.3,13.4,0
527,Bobby Portis,22.5,0.47,5.2,11.1,0.36,1.1,3.1,0.77,1.6,2.1,6.8,1.7,0.7,0.3,1.4,1.8,13.2,0
44,Michael Beasley,22.3,0.51,5.5,10.9,0.4,0.5,1.2,0.78,1.7,2.1,5.6,1.7,0.5,0.6,1.9,2,13.2,0
142,Allen Crabbe,29.3,0.41,4.5,11,0.38,2.7,7.1,0.85,1.5,1.8,4.3,1.6,0.6,0.5,1,2.2,13.2,0
314,Josh Jackson,25.4,0.42,5.1,12.1,0.26,0.7,2.8,0.63,2.3,3.6,4.6,1.5,1,0.5,1.9,2.8,13.1,0
561,Ricky Rubio,29.3,0.42,4.5,10.7,0.35,1.2,3.5,0.87,2.9,3.3,4.6,5.3,1.6,0.1,2.7,2.7,13.1,0
389,Brook Lopez,23.4,0.47,5,10.7,0.35,1.5,4.4,0.7,1.5,2.1,4,1.7,0.4,1.3,1.3,2.6,13,0
